"","Packages","Classes","Attrs","Meths","PMeths","dependencyCount"
"5.2.0",11,191,218,1548,1230,997
"5.3.0",11,273,111,2361,1834,1548
"5.4.1",17,391,544,3346,2560,2086
"6.0.1",17,398,560,3432,2593,2175
"7.0.6",16,320,661,2760,2169,1500
"7.0.7",16,333,694,2812,2200,1574
"7.0.8",16,379,765,3288,2600,1763
"7.0.9",17,431,883,3597,2837,2082
"7.1.0",47,1149,2162,10026,6226,4051
"7.3.0",56,1231,1922,11048,6856,4533
"7.3.1",56,1233,1923,11078,6875,4543
"7.4.1",65,1186,1866,10716,6585,4490
"7.5.1",68,1193,2029,10855,6663,4566
"7.6.0",67,1195,1990,10951,6748,4533
