;Packages;Classes;;Attrs;;Meths;;PMeths;;dependencyCount;
2.0.0;4;38;9,5;61;1,605263158;203;5,342105263;124;3,263157895;84;2,210526316
2.1.0;4;38;9,5;61;1,605263158;213;5,605263158;129;3,394736842;95;2,5
3.2.0;6;88;14,66666667;153;1,738636364;443;5,034090909;240;2,727272727;218;2,477272727
3.4.0;7;78;11,14285714;135;1,730769231;443;5,679487179;242;3,102564103;205;2,628205128
3.5.0;7;100;14,28571429;169;1,69;555;5,55;325;3,25;277;2,77
3.6.0;7;103;14,71428571;175;1,699029126;566;5,495145631;332;3,223300971;280;2,718446602
3.7.0;7;99;14,14285714;167;1,686868687;564;5,696969697;334;3,373737374;274;2,767676768
3.8.0;6;101;16,83333333;169;1,673267327;594;5,881188119;358;3,544554455;275;2,722772277
3.8.1;6;100;16,66666667;167;1,67;591;5,91;358;3,58;276;2,76
3.8.2;6;102;17;169;1,656862745;616;6,039215686;372;3,647058824;278;2,725490196
4.0.0;11;92;8,363636364;170;1,847826087;555;6,032608696;391;4,25;341;3,706521739
4.1.0;11;96;8,727272727;181;1,885416667;560;5,833333333;393;4,09375;359;3,739583333
4.2.0;12;98;8,166666667;183;1,867346939;569;5,806122449;399;4,071428571;362;3,693877551
4.3.1;12;99;8,25;185;1,868686869;588;5,939393939;416;4,202020202;370;3,737373737
4.4.0;20;154;7,7;293;1,902597403;859;5,577922078;639;4,149350649;571;3,707792208
4.5.0;26;188;7,230769231;365;1,941489362;1051;5,590425532;729;3,877659574;702;3,734042553
4.6.0;28;204;7,285714286;404;1,980392157;1134;5,558823529;785;3,848039216;779;3,818627451
4.7.0;29;225;7,75862069;447;1,986666667;1212;5,386666667;828;3,68;839;3,728888889
4.8.0;30;230;7,666666667;459;1,995652174;1224;5,32173913;837;3,639130435;853;3,708695652
4.8.1;30;230;7,666666667;459;1,995652174;1227;5,334782609;837;3,639130435;853;3,708695652
4.9.0;31;250;8,064516129;492;1,968;1276;5,104;859;3,436;883;3,532
4.10.0;31;252;8,129032258;493;1,956349206;1299;5,154761905;869;3,448412698;889;3,527777778
4.11.0;28;233;8,321428571;462;1,982832618;1305;5,600858369;830;3,56223176;766;3,287553648
4.12.0;30;286;9,533333333;582;2,034965035;1627;5,688811189;973;3,402097902;1027;3,590909091
4.12.1;30;268;8,933333333;529;1,973880597;1509;5,630597015;927;3,458955224;940;3,507462687
4.12.2;30;283;9,433333333;576;2,035335689;1606;5,674911661;968;3,4204947;1012;3,575971731
4.12.3;30;286;9,533333333;582;2,034965035;1627;5,688811189;973;3,402097902;1027;3,590909091
4.13.0;32;348;10,875;728;2,091954023;1869;5,370689655;1087;3,123563218;1283;3,686781609
