cicle;instance;nclasses;solutionreal;solution;mojo;evalsconsumed;besteval;time;cluster;
1;junit-4.12.3.odem;286;[-2.5,0.0,-0.5,0.0,-1.5,-2.5,];[0, 5, 4, 5, 2, 0];60.53;20009;2938;6918890;[285, 16, 25, 11, 285, 11, 111, 25, 16, 25, 16, 11, 15, 16, 25, 15, 16, 26, 26, 22, 24, 23, 22, 23, 24, 25, 26, 266, 40, 265, 40, 40, 40, 40, 40, 265, 40, 44, 265, 40, 40, 125, 265, 265, 44, 236, 64, 236, 236, 56, 217, 64, 64, 244, 236, 244, 56, 244, 236, 64, 272, 62, 62, 64, 64, 125, 78, 125, 257, 236, 75, 77, 79, 233, 79, 75, 227, 77, 78, 79, 244, 102, 101, 93, 256, 103, 100, 100, 100, 98, 104, 93, 271, 93, 256, 104, 285, 125, 98, 101, 100, 101, 102, 103, 104, 121, 121, 271, 116, 113, 124, 111, 117, 113, 269, 269, 116, 117, 124, 266, 167, 121, 259, 167, 124, 125, 142, 137, 134, 135, 134, 137, 135, 134, 134, 135, 148, 137, 142, 148, 148, 148, 142, 148, 148, 146, 146, 148, 148, 236, 156, 173, 156, 173, 173, 173, 156, 173, 167, 167, 168, 164, 167, 167, 164, 167, 167, 167, 168, 172, 172, 172, 172, 173, 266, 236, 236, 227, 194, 202, 191, 218, 189, 196, 193, 191, 202, 189, 189, 189, 194, 191, 193, 193, 194, 202, 196, 202, 200, 200, 200, 202, 202, 218, 218, 218, 218, 218, 209, 209, 218, 218, 218, 218, 218, 218, 233, 217, 218, 231, 235, 231, 233, 231, 231, 233, 232, 227, 232, 231, 231, 231, 232, 233, 244, 235, 236, 244, 244, 245, 244, 245, 244, 245, 244, 245, 253, 253, 253, 253, 253, 252, 252, 253, 265, 265, 256, 257, 272, 259, 272, 266, 272, 265, 266, 265, 266, 269, 269, 269, 271, 271, 272, 285, 274, 284, 284, 284, 284, 284, 284, 284, 282, 284, 284, 285];[[true, false, false, true, true, false, false, false, false, true, false, false, true, true, false, false, false, false]]
4;junit-4.12.3.odem;286;[-1.5,2.5,1.0,0.0,-1.0,1.5,];[2, 10, 7, 5, 3, 8];59.4;20002;5264;6920622;[16, 10, 16, 11, 22, 11, 111, 14, 10, 14, 10, 11, 16, 16, 14, 16, 16, 26, 26, 22, 24, 23, 22, 23, 24, 25, 26, 174, 39, 43, 230, 230, 214, 230, 269, 43, 230, 230, 43, 39, 242, 262, 265, 43, 230, 58, 64, 58, 58, 177, 247, 64, 64, 53, 58, 242, 177, 242, 58, 64, 262, 64, 62, 64, 64, 242, 278, 67, 237, 176, 97, 278, 214, 225, 277, 97, 269, 278, 278, 284, 97, 242, 101, 93, 94, 103, 100, 100, 100, 98, 104, 93, 107, 93, 94, 104, 285, 97, 98, 101, 100, 101, 106, 103, 104, 106, 106, 107, 116, 269, 126, 111, 117, 269, 268, 268, 116, 117, 126, 174, 158, 121, 158, 158, 126, 125, 126, 134, 134, 135, 134, 134, 135, 134, 134, 135, 143, 219, 146, 143, 143, 143, 146, 143, 148, 148, 146, 148, 148, 149, 156, 157, 156, 157, 157, 155, 156, 157, 158, 166, 166, 164, 166, 167, 164, 166, 166, 167, 230, 172, 172, 172, 172, 174, 174, 176, 176, 177, 192, 196, 191, 196, 196, 196, 192, 191, 197, 196, 188, 196, 192, 191, 192, 193, 197, 197, 196, 197, 200, 200, 200, 202, 202, 203, 214, 214, 214, 214, 214, 215, 214, 214, 215, 215, 214, 215, 225, 247, 219, 219, 230, 231, 233, 230, 230, 225, 232, 268, 232, 231, 230, 231, 232, 233, 234, 237, 237, 237, 242, 245, 242, 241, 242, 245, 244, 245, 269, 247, 269, 269, 269, 269, 269, 269, 265, 265, 256, 257, 262, 259, 262, 266, 262, 265, 266, 265, 266, 268, 268, 269, 270, 271, 272, 273, 277, 284, 278, 277, 278, 284, 284, 284, 284, 284, 284, 285];[[true, false, false, true, true, false, false, false, false, true, false, false, true, true, false, false, false, false]]
0;junit-4.12.3.odem;286;[1.5,0.5,0.5,0.0,2.0,2.5,];[8, 6, 6, 5, 9, 10];62.03;20005;10900;6974920;[273, 273, 30, 11, 30, 11, 111, 14, 15, 14, 15, 11, 15, 30, 14, 15, 30, 27, 27, 22, 24, 23, 22, 23, 24, 273, 27, 27, 151, 43, 30, 151, 151, 151, 151, 43, 151, 44, 43, 151, 151, 151, 265, 43, 44, 278, 151, 278, 278, 56, 217, 64, 64, 274, 278, 274, 56, 234, 278, 64, 272, 62, 62, 64, 64, 151, 78, 151, 257, 278, 274, 79, 79, 233, 79, 274, 227, 79, 78, 79, 234, 102, 101, 93, 97, 103, 100, 100, 100, 98, 256, 93, 271, 93, 256, 256, 285, 97, 98, 101, 100, 101, 102, 103, 256, 236, 236, 271, 116, 236, 173, 111, 117, 236, 269, 269, 116, 117, 173, 266, 259, 236, 259, 259, 173, 236, 173, 151, 134, 135, 134, 151, 135, 134, 134, 135, 148, 173, 173, 148, 148, 148, 173, 148, 148, 173, 173, 148, 148, 278, 156, 151, 156, 157, 157, 157, 156, 157, 259, 167, 168, 164, 167, 167, 164, 167, 167, 167, 168, 172, 172, 172, 172, 173, 266, 278, 278, 227, 193, 197, 191, 203, 203, 196, 193, 191, 197, 203, 203, 203, 193, 191, 193, 193, 197, 197, 196, 197, 200, 200, 200, 202, 202, 203, 205, 205, 209, 215, 209, 209, 215, 215, 215, 215, 215, 215, 233, 217, 235, 235, 235, 235, 233, 235, 235, 233, 232, 227, 232, 235, 235, 235, 232, 233, 234, 235, 236, 274, 274, 245, 274, 245, 274, 245, 274, 245, 253, 253, 253, 273, 253, 252, 252, 253, 265, 265, 256, 257, 272, 259, 272, 266, 272, 265, 266, 265, 266, 269, 269, 269, 271, 271, 272, 273, 274, 284, 278, 284, 278, 284, 284, 284, 284, 284, 284, 285];[[true, false, false, true, true, false, false, false, false, true, false, false, true, true, false, false, false, false]]
2;junit-4.12.3.odem;286;[1.0,-1.0,0.0,0.0,1.5,1.0,];[7, 3, 5, 5, 8, 7];60.53;20006;3967;6991030;[4, 19, 19, 111, 4, 111, 111, 14, 15, 14, 15, 111, 15, 19, 14, 15, 19, 27, 27, 19, 24, 23, 24, 23, 24, 25, 27, 27, 40, 40, 40, 40, 40, 40, 40, 43, 40, 44, 43, 40, 40, 262, 263, 43, 44, 65, 88, 149, 278, 76, 217, 64, 64, 278, 69, 278, 76, 65, 132, 63, 262, 62, 62, 63, 64, 65, 78, 88, 235, 69, 88, 262, 79, 88, 79, 88, 76, 79, 78, 79, 88, 102, 101, 245, 97, 103, 100, 100, 88, 121, 256, 121, 107, 245, 97, 256, 285, 97, 103, 101, 100, 101, 102, 103, 256, 121, 121, 107, 113, 113, 137, 111, 259, 113, 269, 135, 259, 259, 137, 266, 135, 121, 125, 125, 137, 125, 142, 135, 135, 132, 135, 135, 132, 135, 269, 135, 146, 137, 142, 146, 149, 144, 142, 144, 144, 146, 146, 149, 173, 149, 267, 173, 227, 173, 267, 155, 227, 173, 269, 166, 168, 165, 166, 167, 165, 165, 166, 167, 168, 174, 174, 174, 174, 173, 174, 176, 176, 192, 197, 186, 191, 192, 192, 186, 197, 191, 186, 192, 192, 192, 197, 191, 192, 197, 197, 197, 198, 197, 198, 200, 200, 202, 202, 218, 205, 205, 209, 218, 209, 209, 218, 218, 218, 218, 218, 218, 233, 217, 218, 230, 265, 231, 265, 231, 230, 233, 232, 227, 232, 231, 230, 231, 232, 233, 234, 235, 278, 278, 278, 265, 278, 245, 278, 245, 278, 245, 253, 253, 253, 253, 253, 252, 252, 253, 263, 263, 256, 257, 262, 259, 262, 266, 262, 263, 266, 265, 266, 267, 269, 269, 270, 271, 272, 273, 274, 284, 278, 284, 278, 284, 284, 283, 284, 283, 284, 285];[[true, false, false, true, true, false, false, false, false, true, false, false, true, true, false, false, false, false]]
3;junit-4.12.3.odem;286;[1.5,-1.5,-2.0,0.0,1.5,2.5,];[8, 2, 1, 5, 8, 10];62.03;20003;11015;7096961;[4, 15, 28, 11, 4, 11, 111, 14, 15, 14, 15, 11, 15, 28, 14, 15, 28, 27, 27, 22, 24, 23, 22, 23, 24, 25, 27, 27, 28, 263, 127, 127, 127, 127, 127, 263, 127, 44, 263, 127, 127, 127, 263, 263, 44, 236, 64, 236, 236, 56, 217, 64, 64, 244, 236, 244, 56, 244, 135, 64, 272, 62, 62, 64, 64, 127, 78, 127, 235, 236, 80, 79, 79, 233, 79, 127, 227, 79, 78, 79, 80, 102, 101, 93, 94, 103, 100, 100, 100, 98, 256, 93, 107, 93, 94, 256, 285, 127, 98, 101, 100, 101, 102, 103, 121, 121, 121, 107, 116, 113, 124, 111, 158, 113, 269, 269, 116, 158, 124, 266, 158, 121, 158, 158, 124, 158, 142, 127, 134, 135, 134, 181, 135, 134, 134, 135, 146, 181, 142, 149, 149, 144, 142, 144, 144, 146, 146, 149, 149, 149, 156, 181, 156, 157, 157, 157, 156, 157, 158, 167, 168, 164, 167, 167, 164, 167, 167, 167, 168, 172, 172, 172, 172, 181, 266, 236, 236, 227, 194, 202, 191, 181, 189, 196, 194, 191, 202, 189, 189, 189, 194, 191, 194, 194, 194, 202, 196, 202, 200, 200, 200, 202, 202, 218, 218, 218, 209, 218, 209, 209, 218, 218, 218, 218, 218, 218, 233, 217, 218, 265, 265, 265, 233, 265, 265, 233, 232, 227, 232, 265, 265, 265, 232, 233, 234, 235, 236, 244, 244, 245, 244, 245, 244, 245, 244, 245, 253, 253, 253, 253, 253, 252, 252, 253, 263, 263, 256, 257, 272, 259, 272, 266, 272, 263, 266, 265, 266, 269, 269, 269, 270, 271, 272, 273, 274, 284, 284, 284, 284, 284, 284, 284, 282, 284, 284, 285];[[true, false, false, true, true, false, false, false, false, true, false, false, true, true, false, false, false, false]]
8;junit-4.12.3.odem;286;[-1.0,-0.5,2.5,0.0,-2.5,1.0,];[3, 4, 10, 5, 0, 7];60.53;20004;3492;6570361;[285, 272, 257, 11, 257, 11, 257, 14, 25, 14, 25, 11, 25, 25, 14, 25, 25, 26, 26, 22, 24, 23, 22, 23, 24, 25, 26, 174, 196, 43, 230, 230, 215, 230, 269, 43, 230, 248, 43, 196, 248, 272, 265, 43, 248, 149, 64, 149, 149, 177, 247, 64, 64, 67, 149, 248, 177, 234, 149, 64, 272, 64, 188, 64, 64, 248, 277, 67, 257, 149, 188, 277, 215, 225, 283, 188, 269, 277, 277, 277, 234, 106, 101, 93, 256, 103, 100, 100, 100, 98, 104, 93, 271, 93, 256, 104, 285, 188, 98, 101, 100, 101, 106, 103, 104, 106, 106, 271, 174, 269, 126, 125, 117, 125, 268, 268, 174, 117, 126, 174, 259, 125, 259, 259, 126, 125, 126, 134, 134, 135, 134, 134, 135, 134, 134, 135, 148, 236, 146, 148, 148, 148, 146, 148, 148, 148, 146, 148, 148, 149, 156, 157, 156, 157, 157, 157, 156, 157, 259, 166, 283, 164, 166, 167, 164, 166, 166, 167, 230, 172, 172, 172, 172, 174, 174, 176, 176, 177, 193, 196, 191, 196, 196, 196, 193, 191, 197, 196, 188, 196, 193, 191, 196, 193, 197, 197, 196, 197, 200, 200, 200, 202, 202, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 225, 247, 236, 236, 230, 231, 233, 248, 230, 225, 232, 268, 232, 231, 230, 231, 232, 233, 234, 257, 236, 248, 248, 245, 248, 245, 248, 245, 248, 245, 269, 247, 248, 269, 269, 269, 269, 269, 265, 265, 256, 257, 272, 259, 272, 266, 272, 265, 266, 265, 266, 268, 268, 269, 271, 271, 272, 285, 283, 284, 278, 277, 278, 284, 284, 284, 284, 283, 284, 285];[[true, false, false, true, true, false, false, false, false, true, false, false, true, true, false, false, false, false]]
7;junit-4.12.3.odem;286;[0.5,-1.0,-1.5,0.0,1.5,2.5,];[6, 3, 2, 5, 8, 10];62.41;20013;10047;6602157;[4, 28, 28, 11, 4, 11, 111, 14, 28, 14, 28, 11, 28, 28, 14, 28, 28, 27, 27, 22, 24, 23, 22, 23, 24, 25, 27, 27, 28, 255, 127, 127, 127, 127, 127, 255, 127, 44, 255, 127, 127, 127, 255, 255, 44, 236, 64, 236, 236, 56, 217, 64, 64, 244, 236, 244, 56, 244, 135, 64, 272, 62, 62, 64, 64, 127, 78, 127, 235, 236, 80, 79, 79, 233, 79, 127, 227, 79, 78, 79, 80, 102, 101, 93, 94, 103, 100, 100, 100, 98, 256, 93, 107, 93, 94, 256, 285, 127, 98, 101, 100, 101, 102, 103, 121, 121, 121, 107, 116, 113, 124, 111, 158, 113, 269, 269, 116, 158, 124, 266, 158, 121, 158, 158, 124, 158, 142, 127, 134, 135, 134, 181, 135, 134, 134, 135, 146, 181, 142, 149, 149, 144, 142, 144, 144, 146, 146, 149, 149, 149, 156, 181, 156, 157, 157, 155, 156, 157, 158, 167, 168, 164, 167, 167, 164, 167, 167, 167, 168, 172, 172, 172, 172, 181, 266, 236, 236, 227, 194, 202, 191, 181, 189, 196, 194, 191, 202, 189, 189, 189, 194, 191, 194, 194, 194, 202, 196, 202, 200, 200, 200, 202, 202, 218, 218, 218, 209, 218, 209, 209, 218, 218, 218, 218, 218, 218, 233, 217, 218, 265, 265, 265, 233, 265, 265, 233, 232, 227, 232, 265, 265, 265, 232, 233, 234, 235, 236, 244, 244, 245, 244, 245, 244, 245, 244, 245, 253, 253, 253, 253, 253, 252, 252, 253, 255, 255, 256, 257, 272, 259, 272, 266, 272, 263, 266, 265, 266, 269, 269, 269, 270, 271, 272, 273, 282, 284, 284, 284, 284, 284, 284, 284, 282, 284, 284, 285];[[true, false, false, true, true, false, false, false, false, true, false, false, true, true, false, false, false, false]]
5;junit-4.12.3.odem;286;[1.5,0.5,0.5,0.0,2.0,2.5,];[8, 6, 6, 5, 9, 10];62.03;20005;466;6661787;[273, 273, 30, 11, 30, 11, 111, 14, 15, 14, 15, 11, 15, 30, 14, 15, 30, 27, 27, 22, 24, 23, 22, 23, 24, 273, 27, 27, 151, 43, 30, 151, 151, 151, 151, 43, 151, 44, 43, 151, 151, 151, 265, 43, 44, 278, 151, 278, 278, 56, 217, 64, 64, 274, 278, 274, 56, 234, 278, 64, 272, 62, 62, 64, 64, 151, 78, 151, 257, 278, 274, 79, 79, 233, 79, 274, 227, 79, 78, 79, 234, 102, 101, 93, 97, 103, 100, 100, 100, 98, 256, 93, 271, 93, 256, 256, 285, 97, 98, 101, 100, 101, 102, 103, 256, 236, 236, 271, 116, 236, 173, 111, 117, 236, 269, 269, 116, 117, 173, 266, 259, 236, 259, 259, 173, 236, 173, 151, 134, 135, 134, 151, 135, 134, 134, 135, 148, 173, 173, 148, 148, 148, 173, 148, 148, 173, 173, 148, 148, 278, 156, 151, 156, 157, 157, 157, 156, 157, 259, 167, 168, 164, 167, 167, 164, 167, 167, 167, 168, 172, 172, 172, 172, 173, 266, 278, 278, 227, 193, 197, 191, 203, 203, 196, 193, 191, 197, 203, 203, 203, 193, 191, 193, 193, 197, 197, 196, 197, 200, 200, 200, 202, 202, 203, 205, 205, 209, 215, 209, 209, 215, 215, 215, 215, 215, 215, 233, 217, 235, 235, 235, 235, 233, 235, 235, 233, 232, 227, 232, 235, 235, 235, 232, 233, 234, 235, 236, 274, 274, 245, 274, 245, 274, 245, 274, 245, 253, 253, 253, 273, 253, 252, 252, 253, 265, 265, 256, 257, 272, 259, 272, 266, 272, 265, 266, 265, 266, 269, 269, 269, 271, 271, 272, 273, 274, 284, 278, 284, 278, 284, 284, 284, 284, 284, 284, 285];[[true, false, false, true, true, false, false, false, false, true, false, false, true, true, false, false, false, false]]
6;junit-4.12.3.odem;286;[2.0,-2.0,-2.5,0.0,1.5,2.5,];[9, 1, 0, 5, 8, 10];60.9;20008;17320;6662937;[4, 15, 28, 11, 4, 11, 111, 14, 15, 14, 15, 11, 15, 28, 14, 15, 28, 26, 26, 22, 24, 23, 22, 23, 24, 25, 26, 266, 28, 43, 127, 127, 127, 127, 127, 43, 127, 44, 43, 127, 127, 127, 265, 43, 44, 236, 64, 236, 236, 56, 217, 64, 64, 244, 236, 244, 56, 244, 135, 64, 272, 62, 62, 64, 64, 127, 78, 127, 235, 236, 80, 79, 79, 233, 79, 127, 113, 79, 78, 79, 80, 102, 101, 93, 94, 103, 100, 100, 100, 98, 256, 93, 107, 93, 94, 256, 285, 127, 98, 101, 100, 101, 102, 103, 121, 121, 121, 107, 116, 113, 137, 111, 158, 113, 269, 269, 116, 158, 124, 266, 158, 121, 158, 158, 124, 158, 142, 127, 134, 135, 134, 218, 135, 134, 134, 135, 146, 137, 142, 149, 149, 144, 142, 144, 144, 146, 146, 149, 149, 149, 156, 218, 156, 157, 157, 157, 156, 157, 158, 167, 168, 164, 167, 167, 164, 167, 167, 167, 168, 174, 174, 174, 174, 218, 174, 236, 236, 218, 194, 202, 191, 218, 189, 196, 192, 191, 202, 189, 189, 189, 194, 191, 192, 193, 194, 202, 196, 202, 200, 200, 200, 202, 202, 218, 205, 205, 209, 218, 209, 209, 218, 218, 218, 218, 218, 218, 233, 217, 218, 231, 265, 231, 233, 231, 231, 233, 232, 269, 232, 231, 231, 231, 232, 233, 234, 235, 236, 244, 244, 245, 244, 245, 244, 245, 244, 245, 253, 253, 253, 253, 253, 252, 252, 253, 265, 265, 256, 257, 272, 259, 272, 266, 272, 263, 266, 265, 266, 269, 269, 269, 270, 271, 272, 273, 274, 284, 284, 284, 284, 284, 284, 284, 282, 284, 284, 285];[[true, false, false, true, true, false, false, false, false, true, false, false, true, true, false, false, false, false]]
9;junit-4.12.3.odem;286;[1.5,-1.5,-2.0,0.0,0.5,1.0,];[8, 2, 1, 5, 6, 7];60.15;20010;6337;6554347;[4, 28, 28, 11, 4, 11, 111, 14, 15, 14, 15, 11, 15, 28, 14, 15, 28, 26, 26, 22, 24, 23, 22, 23, 24, 25, 26, 266, 28, 265, 127, 127, 127, 127, 127, 265, 127, 44, 265, 127, 127, 127, 265, 265, 44, 236, 64, 236, 236, 56, 217, 64, 64, 244, 236, 244, 56, 244, 135, 64, 272, 74, 74, 64, 64, 127, 78, 127, 235, 236, 80, 79, 79, 233, 74, 127, 113, 79, 78, 79, 80, 102, 101, 93, 94, 103, 100, 100, 100, 98, 256, 93, 107, 93, 94, 256, 285, 127, 98, 101, 100, 101, 102, 103, 121, 121, 121, 107, 116, 113, 137, 111, 158, 113, 269, 269, 116, 158, 137, 266, 158, 121, 158, 158, 137, 158, 142, 127, 134, 135, 134, 218, 135, 134, 134, 135, 146, 137, 142, 146, 149, 144, 142, 144, 144, 146, 146, 149, 149, 149, 156, 218, 156, 157, 157, 157, 156, 157, 158, 166, 168, 165, 166, 167, 165, 165, 166, 167, 168, 174, 174, 174, 174, 218, 174, 236, 236, 218, 194, 202, 192, 218, 189, 196, 192, 192, 202, 189, 189, 189, 194, 192, 192, 193, 194, 202, 196, 202, 200, 200, 200, 202, 202, 218, 205, 205, 209, 218, 209, 209, 218, 218, 218, 218, 218, 218, 233, 217, 218, 230, 265, 231, 233, 231, 230, 233, 232, 269, 232, 231, 230, 231, 232, 233, 234, 235, 236, 244, 244, 245, 244, 245, 244, 245, 244, 245, 253, 253, 253, 253, 253, 252, 252, 253, 265, 265, 256, 257, 272, 259, 272, 266, 272, 263, 266, 265, 266, 269, 269, 269, 270, 271, 272, 273, 274, 284, 284, 284, 284, 284, 284, 284, 282, 284, 284, 285];[[true, false, false, true, true, false, false, false, false, true, false, false, true, true, false, false, false, false]]
