"","ncommit","single_class","single_class_percent","single_package","single_package_percent","classes_commit_mean_sd","packages_commit_mean_sd"
"3.5.0","8","2","25","3","37.5","15 +- 22.88","3.75 +- 3.45"
"3.6.0","2","0","0","0","0","13.5 +- 6.36","6.5 +- 0.71"
"3.8.0","55","27","49.09","32","58.18","4.96 +- 9.98","2.25 +- 2.18"
"3.8.1","11","3","27.27","7","63.64","2.45 +- 1.37","1.73 +- 1.19"
"3.8.2","4","2","50","2","50","26 +- 46.73","5.5 +- 7.14"
"4.0.0","28","15","53.57","15","53.57","12.43 +- 44.49","3.11 +- 5.88"
"4.1.0","5","1","20","1","20","7 +- 7.75","5.8 +- 8.01"
"4.10.0","34","12","35.29","12","35.29","10.38 +- 16.04","5.68 +- 7"
"4.11.0","662","246","37.16","260","39.27","13.7 +- 40.09","5.77 +- 9.79"
"4.12.0","7","4","57.14","4","57.14","2.43 +- 2.15","2.43 +- 2.15"
"4.12.2","21","6","28.57","6","28.57","14.9 +- 29.78","6.67 +- 9.99"
"4.12.3","10","6","60","6","60","1.7 +- 1.25","1.6 +- 0.97"
"4.13.0","266","130","48.87","144","54.14","9.27 +- 35.46","4 +- 10.32"
"4.2.0","15","6","40","6","40","4.93 +- 8.58","2.8 +- 2.81"
"4.3.1","25","4","16","4","16","20.72 +- 65.44","4.96 +- 8.35"
"4.4.0","51","3","5.88","4","7.84","13.98 +- 18.64","5.76 +- 5.05"
"4.5.0","152","58","38.16","63","41.45","7.66 +- 39.78","3.44 +- 7.49"
"4.6.0","44","6","13.64","7","15.91","16.84 +- 55.15","5.66 +- 10.3"
"4.7.0","174","51","29.31","60","34.48","5.76 +- 8.76","3.37 +- 3.44"
"4.8.1","33","7","21.21","9","27.27","5.64 +- 7.5","4 +- 4.97"
"4.9.0","146","45","30.82","48","32.88","8.12 +- 13.58","4.64 +- 6.37"
