2,4,1;36;12;33,33;31;86,11;4,39;5,11;;1,25;0,69
2,4,f;6;2;33,33;6;100;2;1,1;;1;0
2,5,f;15;7;46,67;14;93,33;2,27;2,09;;1,13;0,52
2,6,f;15;3;20;8;53,33;8,13;7,8;;2,07;1,49
3,0,0;25;6;24;22;88;4,04;3,77;;1,12;0,33
3,0,2;15;6;40;13;86,67;2,4;1,72;;1,13;0,35
3,1,0;47;18;38,3;38;80,85;3,72;3,88;;1,47;1,04
3,2,0;172;69;40,12;148;86,05;3,73;4,32;;1,21;0,64
3,2,2;55;17;30,91;39;70,91;14,36;46,35;;2,38;3,75
4,0,3;1167;365;31,28;602;51,59;4,65;5,29;;2,22;1,71
4,1,0;1642;676;41,17;1003;61,08;3,81;6,11;;1,86;1,46
4,2,0;1088;383;35,2;615;56,53;4,1;5,95;;1,96;1,55
4,3,3;8164;4486;54,95;6169;75,56;2,99;9,77;;1,48;1,33
4,4,2;282;180;63,83;222;78,72;2,53;7,14;;1,3;0,75
4,5,0;526;320;60,84;412;78,33;3,65;30,86;;1,48;3,36
4,5,1;217;150;69,12;185;85,25;1,75;1,87;;1,25;0,78
4,5,2;175;105;60;129;73,71;2,52;4,6;;1,34;0,67
5,0,0;348;197;56,61;281;80,75;4,17;21,1;;1,5;2,01
5,1,0;259;163;62,93;219;84,56;2,05;2,25;;1,27;0,83
5,2,0;367;190;51,77;282;76,84;2,57;4;;1,44;1,38
5,3,0;271;145;53,51;214;78,97;2,49;3,79;;1,39;1,07
5,5,0;313;158;50,48;215;68,69;2,95;4,49;;1,59;1,2
;15205;7658;;;77,08318182;3,875909091;8,334545455;#DIV/0!;1,492727273;
;100;50,36501151;;;51,59;1,75;1,1;;1;
;;;;;100;14,36;6,11;;2,38;
;;;;;78,845;3,32;4,545;;1,415;
