;;ncommit;;single_class;;single_class_percent;;single_package;;single_package_percent;;classes_commit_mean_sd;;packages_commit_mean_sd;
2.4.1;&;36;&;12;&;33,33;&;31;&;86,11;&;(2)  4,39 $\pm$ 5,11;&;(1)  1,25 $\pm$ 0,69;\\
2.4.f;&;6;&;2;&;33,33;&;6;&;100;&;(2)  2 $\pm$ 1,1;&;(1)  1 $\pm$ 0;\\
2.5.f;&;15;&;7;&;46,67;&;14;&;93,33;&;(2)  2,27 $\pm$ 2,09;&;(1)  1,13 $\pm$ 0,52;\\
2.6.f;&;15;&;3;&;20;&;8;&;53,33;&;(6)  8,13 $\pm$ 7,8;&;(1)  2,07 $\pm$ 1,49;\\
3.0.0;&;25;&;6;&;24;&;22;&;88;&;(3)  4,04 $\pm$ 3,77;&;(1)  1,12 $\pm$ 0,33;\\
3.0.2;&;15;&;6;&;40;&;13;&;86,67;&;(2)  2,4 $\pm$ 1,72;&;(1)  1,13 $\pm$ 0,35;\\
3.1.0;&;47;&;18;&;38,3;&;38;&;80,85;&;(2)  3,72 $\pm$ 3,88;&;(1)  1,47 $\pm$ 1,04;\\
3.2.0;&;172;&;69;&;40,12;&;148;&;86,05;&;(2)  3,73 $\pm$ 4,32;&;(1)  1,21 $\pm$ 0,64;\\
3.2.2;&;55;&;17;&;30,91;&;39;&;70,91;&;(3)  14,36 $\pm$ 46,35;&;(1)  2,38 $\pm$ 3,75;\\
4.0.3;&;1167;&;365;&;31,28;&;602;&;51,59;&;(3)  4,65 $\pm$ 5,29;&;(1)  2,22 $\pm$ 1,71;\\
4.1.0;&;1642;&;676;&;41,17;&;1003;&;61,08;&;(2)  3,81 $\pm$ 6,11;&;(1)  1,86 $\pm$ 1,46;\\
4.2.0;&;1088;&;383;&;35,2;&;615;&;56,53;&;(2)  4,1 $\pm$ 5,95;&;(1)  1,96 $\pm$ 1,55;\\
4.3.3;&;8164;&;4486;&;54,95;&;6169;&;75,56;&;(1)  2,99 $\pm$ 9,77;&;(1)  1,48 $\pm$ 1,33;\\
4.4.2;&;282;&;180;&;63,83;&;222;&;78,72;&;(1)  2,53 $\pm$ 7,14;&;(1)  1,3 $\pm$ 0,75;\\
4.5.0;&;526;&;320;&;60,84;&;412;&;78,33;&;(1)  3,65 $\pm$ 30,86;&;(1)  1,48 $\pm$ 3,36;\\
4.5.1;&;217;&;150;&;69,12;&;185;&;85,25;&;(1)  1,75 $\pm$ 1,87;&;(1)  1,25 $\pm$ 0,78;\\
4.5.2;&;175;&;105;&;60;&;129;&;73,71;&;(1)  2,52 $\pm$ 4,6;&;(1)  1,34 $\pm$ 0,67;\\
5.0.0;&;348;&;197;&;56,61;&;281;&;80,75;&;(1)  4,17 $\pm$ 21,1;&;(1)  1,5 $\pm$ 2,01;\\
5.1.0;&;259;&;163;&;62,93;&;219;&;84,56;&;(1)  2,05 $\pm$ 2,25;&;(1)  1,27 $\pm$ 0,83;\\
5.2.0;&;367;&;190;&;51,77;&;282;&;76,84;&;(1)  2,57 $\pm$ 4;&;(1)  1,44 $\pm$ 1,38;\\
5.3.0;&;271;&;145;&;53,51;&;214;&;78,97;&;(1)  2,49 $\pm$ 3,79;&;(1)  1,39 $\pm$ 1,07;\\
5.4.0;&;197;&;96;&;48,73;&;131;&;66,5;&;(2)  3,46 $\pm$ 5,46;&;(1)  1,71 $\pm$ 1,39;\\
5.5.0;&;116;&;62;&;53,45;&;84;&;72,41;&;(1)  2,09 $\pm$ 1,65;&;(1)  1,41 $\pm$ 0,75;\\
